MAGNITUDE,DEPTH,REGION,DISTANCE,TSUNAMI
4.5,201,0,0,0
5,203,0,0,0
4.6,204,0,0,0
5,208,0,0,0
4.6,211,1,-7.07072,0
4.7,214,1,-15.405,0
4.5,216,0,0,0
4.3,216,0,0,0
4.4,219,0,0,0
4.5,226,1,-118.83,0
4.5,232,0,0,0
5,238,0,0,0
4.3,266,1,-7.52633,0
5,315,0,0,0
4.3,330,0,0,0
4.2,342,0,0,0
4.6,361,0,0,0
4.6,392,0,0,0
4.2,433,0,0,0
4.6,468,0,0,0
4.9,497,0,0,0
4.7,541,0,0,0
4.2,543,0,0,0
4.7,547,0,0,0
4.3,615,0,0,0
5.3,114,1,-1442.01,0
5.8,90,1,-1377.62,0
5.2,404,1,-1314.77,0
5.2,90,1,-1292.94,0
5,184,1,-1279.7,0
5.3,188,1,-1278.43,0
5.2,202,1,-1266.37,0
5.2,99,1,-1244.3,0
5.5,155,1,-636.145,0
5.5,166,1,-606.97,0
5.5,82,1,-402.353,0
5.9,118,1,-373.808,0
5,113,1,-341.723,0
5.1,90,1,-294.766,0
5,110,1,-291.742,0
5.3,118,1,-291.742,0
5.1,95,1,-228.839,0
5.8,113,1,-223.369,0
5,101,1,-219.353,0
5.1,92,1,-156.492,0
5.1,78,1,-125.075,0
5.6,183,0,0,0
5.3,473,0,0,0
5.1,179,0,0,0
5.5,411,0,0,0
5.6,612,0,0,0
5.3,355,0,0,0
5.9,545,0,0,0
5.1,162,0,0,0
5.2,168,0,0,0
5.6,204,0,0,0
5.2,179,0,0,0
5.8,405,0,0,0
5.7,596,0,0,0
5.6,210,0,0,0
5.2,199,0,0,0
5.4,249,0,0,0
5.5,181,0,0,0
5,186,0,0,0
5.1,279,0,0,0
5.8,502,0,0,0
5,315,0,0,0
5.9,440,0,0,0
5.2,564,0,0,0
6,475,0,0,0
5.8,473,0,0,0
6,182,0,0,0
5.1,448,0,0,0
5.2,257,0,0,0
5.7,201,0,0,0
5.5,266,0,0,0
5.6,258,0,0,0
